Rack,Shelf,Full Label
"A",1,"A1"
"A",2,"A2"
"A",3,"A3"
"A",4,"A4"
"A",5,"A5"
"A",6,"A6"
"A",7,"A7"
"A",8,"A8"
"A",9,"A9"
"A",10,"A10"
"A",11,"A11"
"A",12,"A12"
"A",13,"A13"
"A",14,"A14"
"A",15,"A15"
"A",16,"A16"
"A",17,"A17"
"A",18,"A18"
"A",19,"A19"
"A",20,"A20"
"A",21,"A21"
"A",22,"A22"
"A",23,"A23"
"A",24,"A24"
"A",25,"A25"
"A",26,"A26"
"A",27,"A27"
"A",28,"A28"
"B",1,"B1"
"B",2,"B2"
"B",3,"B3"
"B",4,"B4"
"B",5,"B5"
"B",6,"B6"
"B",7,"B7"
"B",8,"B8"
"B",9,"B9"
"B",10,"B10"
"B",11,"B11"
"B",12,"B12"
"B",13,"B13"
"B",14,"B14"
"B",15,"B15"
"B",16,"B16"
"B",17,"B17"
"B",18,"B18"
"B",19,"B19"
"B",20,"B20"
"B",21,"B21"
"B",22,"B22"
"B",23,"B23"
"B",24,"B24"
"B",25,"B25"
"B",26,"B26"
"B",27,"B27"
"B",28,"B28"
"C",1,"C1"
"C",2,"C2"
"C",3,"C3"
"C",4,"C4"
"C",5,"C5"
"C",6,"C6"
"C",7,"C7"
"C",8,"C8"
"C",9,"C9"
"C",10,"C10"
"C",11,"C11"
"C",12,"C12"
"C",13,"C13"
"C",14,"C14"
"C",15,"C15"
"C",16,"C16"
"C",17,"C17"
"C",18,"C18"
"C",19,"C19"
"C",20,"C20"
"C",21,"C21"
"C",22,"C22"
"C",23,"C23"
"C",24,"C24"
"C",25,"C25"
"C",26,"C26"
"C",27,"C27"
"C",28,"C28"
"D",1,"D1"
"D",2,"D2"
"D",3,"D3"
"D",4,"D4"
"D",5,"D5"
"D",6,"D6"
"D",7,"D7"
"D",8,"D8"
"D",9,"D9"
"D",10,"D10"
"D",11,"D11"
"D",12,"D12"
"D",13,"D13"
"D",14,"D14"
"D",15,"D15"
"D",16,"D16"
"D",17,"D17"
"D",18,"D18"
"D",19,"D19"
"D",20,"D20"
"D",21,"D21"
"D",22,"D22"
"D",23,"D23"
"D",24,"D24"
"D",25,"D25"
"D",26,"D26"
"D",27,"D27"
"D",28,"D28"
"E",1,"E1"
"E",2,"E2"
"E",3,"E3"
"E",4,"E4"
"E",5,"E5"
"E",6,"E6"
"E",7,"E7"
"E",8,"E8"
"E",9,"E9"
"E",10,"E10"
"E",11,"E11"
"E",12,"E12"
"E",13,"E13"
"E",14,"E14"
"E",15,"E15"
"E",16,"E16"
"E",17,"E17"
"E",18,"E18"
"E",19,"E19"
"E",20,"E20"
"E",21,"E21"
"E",22,"E22"
"E",23,"E23"
"E",24,"E24"
"E",25,"E25"
"E",26,"E26"
"E",27,"E27"
"E",28,"E28"
"F",1,"F1"
"F",2,"F2"
"F",3,"F3"
"F",4,"F4"
"F",5,"F5"
"F",6,"F6"
"F",7,"F7"
"F",8,"F8"
"F",9,"F9"
"F",10,"F10"
"F",11,"F11"
"F",12,"F12"
"F",13,"F13"
"F",14,"F14"
"F",15,"F15"
"F",16,"F16"
"F",17,"F17"
"F",18,"F18"
"F",19,"F19"
"F",20,"F20"
"F",21,"F21"
"F",22,"F22"
"F",23,"F23"
"F",24,"F24"
"F",25,"F25"
"F",26,"F26"
"F",27,"F27"
"F",28,"F28"
"G",1,"G1"
"G",2,"G2"
"G",3,"G3"
"G",4,"G4"
"G",5,"G5"
"G",6,"G6"
"G",7,"G7"
"G",8,"G8"
"G",9,"G9"
"G",10,"G10"
"G",11,"G11"
"G",12,"G12"
"G",13,"G13"
"G",14,"G14"
"G",15,"G15"
"G",16,"G16"
"G",17,"G17"
"G",18,"G18"
"G",19,"G19"
"G",20,"G20"
"G",21,"G21"
"G",22,"G22"
"G",23,"G23"
"G",24,"G24"
"G",25,"G25"
"G",26,"G26"
"G",27,"G27"
"G",28,"G28"
"H",1,"H1"
"H",2,"H2"
"H",3,"H3"
"H",4,"H4"
"H",5,"H5"
"H",6,"H6"
"H",7,"H7"
"H",8,"H8"
"H",9,"H9"
"H",10,"H10"
"H",11,"H11"
"H",12,"H12"
"H",13,"H13"
"H",14,"H14"
"H",15,"H15"
"H",16,"H16"
"H",17,"H17"
"H",18,"H18"
"H",19,"H19"
"H",20,"H20"
"H",21,"H21"
"H",22,"H22"
"H",23,"H23"
"H",24,"H24"
"H",25,"H25"
"H",26,"H26"
"H",27,"H27"
"H",28,"H28"
"I",1,"I1"
"I",2,"I2"
"I",3,"I3"
"I",4,"I4"
"I",5,"I5"
"I",6,"I6"
"I",7,"I7"
"I",8,"I8"
"I",9,"I9"
"I",10,"I10"
"I",11,"I11"
"I",12,"I12"
"I",13,"I13"
"I",14,"I14"
"I",15,"I15"
"I",16,"I16"
"I",17,"I17"
"I",18,"I18"
"I",19,"I19"
"I",20,"I20"
"I",21,"I21"
"I",22,"I22"
"I",23,"I23"
"I",24,"I24"
"I",25,"I25"
"I",26,"I26"
"I",27,"I27"
"I",28,"I28"
"J",1,"J1"
"J",2,"J2"
"J",3,"J3"
"J",4,"J4"
"J",5,"J5"
"J",6,"J6"
"J",7,"J7"
"J",8,"J8"
"J",9,"J9"
"J",10,"J10"
"J",11,"J11"
"J",12,"J12"
"J",13,"J13"
"J",14,"J14"
"J",15,"J15"
"J",16,"J16"
"J",17,"J17"
"J",18,"J18"
"J",19,"J19"
"J",20,"J20"
"J",21,"J21"
"J",22,"J22"
"J",23,"J23"
"J",24,"J24"
"J",25,"J25"
"J",26,"J26"
"J",27,"J27"
"J",28,"J28"
"K",1,"K1"
"K",2,"K2"
"K",3,"K3"
"K",4,"K4"
"K",5,"K5"
"K",6,"K6"
"K",7,"K7"
"K",8,"K8"
"K",9,"K9"
"K",10,"K10"
"K",11,"K11"
"K",12,"K12"
"K",13,"K13"
"K",14,"K14"
"K",15,"K15"
"K",16,"K16"
"K",17,"K17"
"K",18,"K18"
"K",19,"K19"
"K",20,"K20"
"K",21,"K21"
"K",22,"K22"
"K",23,"K23"
"K",24,"K24"
"K",25,"K25"
"K",26,"K26"
"K",27,"K27"
"K",28,"K28"
"L",1,"L1"
"L",2,"L2"
"L",3,"L3"
"L",4,"L4"
"L",5,"L5"
"L",6,"L6"
"L",7,"L7"
"L",8,"L8"
"L",9,"L9"
"L",10,"L10"
"L",11,"L11"
"L",12,"L12"
"L",13,"L13"
"L",14,"L14"
"L",15,"L15"
"L",16,"L16"
"L",17,"L17"
"L",18,"L18"
"L",19,"L19"
"L",20,"L20"
"L",21,"L21"
"L",22,"L22"
"L",23,"L23"
"L",24,"L24"
"L",25,"L25"
"L",26,"L26"
"L",27,"L27"
"L",28,"L28"
"M",1,"M1"
"M",2,"M2"
"M",3,"M3"
"M",4,"M4"
"M",5,"M5"
"M",6,"M6"
"M",7,"M7"
"M",8,"M8"
"M",9,"M9"
"M",10,"M10"
"M",11,"M11"
"M",12,"M12"
"M",13,"M13"
"M",14,"M14"
"M",15,"M15"
"M",16,"M16"
"M",17,"M17"
"M",18,"M18"
"M",19,"M19"
"M",20,"M20"
"M",21,"M21"
"M",22,"M22"
"M",23,"M23"
"M",24,"M24"
"M",25,"M25"
"M",26,"M26"
"M",27,"M27"
"M",28,"M28"
"N",1,"N1"
"N",2,"N2"
"N",3,"N3"
"N",4,"N4"
"N",5,"N5"
"N",6,"N6"
"N",7,"N7"
"N",8,"N8"
"N",9,"N9"
"N",10,"N10"
"N",11,"N11"
"N",12,"N12"
"N",13,"N13"
"N",14,"N14"
"N",15,"N15"
"N",16,"N16"
"N",17,"N17"
"N",18,"N18"
"N",19,"N19"
"N",20,"N20"
"N",21,"N21"
"N",22,"N22"
"N",23,"N23"
"N",24,"N24"
"N",25,"N25"
"N",26,"N26"
"N",27,"N27"
"N",28,"N28"
"O",1,"O1"
"O",2,"O2"
"O",3,"O3"
"O",4,"O4"
"O",5,"O5"
"O",6,"O6"
"O",7,"O7"
"O",8,"O8"
"O",9,"O9"
"O",10,"O10"
"O",11,"O11"
"O",12,"O12"
"O",13,"O13"
"O",14,"O14"
"O",15,"O15"
"O",16,"O16"
"O",17,"O17"
"O",18,"O18"
"O",19,"O19"
"O",20,"O20"
"O",21,"O21"
"O",22,"O22"
"O",23,"O23"
"O",24,"O24"
"O",25,"O25"
"O",26,"O26"
"O",27,"O27"
"O",28,"O28"
"P",1,"P1"
"P",2,"P2"
"P",3,"P3"
"P",4,"P4"
"P",5,"P5"
"P",6,"P6"
"P",7,"P7"
"P",8,"P8"
"P",9,"P9"
"P",10,"P10"
"P",11,"P11"
"P",12,"P12"
"P",13,"P13"
"P",14,"P14"
"P",15,"P15"
"P",16,"P16"
"P",17,"P17"
"P",18,"P18"
"P",19,"P19"
"P",20,"P20"
"P",21,"P21"
"P",22,"P22"
"P",23,"P23"
"P",24,"P24"
"P",25,"P25"
"P",26,"P26"
"P",27,"P27"
"P",28,"P28"
"Q",1,"Q1"
"Q",2,"Q2"
"Q",3,"Q3"
"Q",4,"Q4"
"Q",5,"Q5"
"Q",6,"Q6"
"Q",7,"Q7"
"Q",8,"Q8"
"Q",9,"Q9"
"Q",10,"Q10"
"Q",11,"Q11"
"Q",12,"Q12"
"Q",13,"Q13"
"Q",14,"Q14"
"Q",15,"Q15"
"Q",16,"Q16"
"Q",17,"Q17"
"Q",18,"Q18"
"Q",19,"Q19"
"Q",20,"Q20"
"Q",21,"Q21"
"Q",22,"Q22"
"Q",23,"Q23"
"Q",24,"Q24"
"Q",25,"Q25"
"Q",26,"Q26"
"Q",27,"Q27"
"Q",28,"Q28"
"R",1,"R1"
"R",2,"R2"
"R",3,"R3"
"R",4,"R4"
"R",5,"R5"
"R",6,"R6"
"R",7,"R7"
"R",8,"R8"
